Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       6/36          std::allocator<long>::~allocator() [35]
                0.00    0.00       6/18          std::vector<long, std::allocator<long> >::end() [42]
                0.00    0.00       6/6           bool __gnu_cxx::operator< <long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&) [76]
                0.00    0.00       4/10          __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator*() const [61]
                0.00    0.00       4/8           __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator++(int) [66]
                0.00    0.00       4/378         std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [24]
                0.00    0.00       3/4           std::vector<std::string, std::allocator<std::string> >::~vector() [97]
                0.00    0.00       2/4           std::vector<long, std::allocator<long> >::begin() [99]
                0.00    0.00       2/2           std::vector<long, std::allocator<long> >::vector(std::vector<long, std::allocator<long> > const&) [122]
                0.00    0.00       2/2           void vector2array<long>(std::vector<long, std::allocator<long> >, long*) [103]
                0.00    0.00       2/2           std::vector<std::string, std::allocator<std::string> >::vector(std::vector<std::string, std::allocator<std::string> > const&) [120]
                0.00    0.00       1/2           std::allocator<std::string>::allocator() [112]
                0.00    0.00       1/2           std::vector<std::string, std::allocator<std::string> >::vector(std::allocator<std::string> const&) [119]
                0.00    0.00       1/8           std::allocator<std::string>::~allocator() [67]
                0.00    0.00       1/1           parse_sanePos_ini_file(char*, bool&, int&, long&, bool&, bool&, double*, double*, double&, long&, long&, int&, double&, double*, double*, std::string&, std::string&, std::string&, std::string&, std::string&, std::string&, std::string&, std::string&, std::string&, int&, std::vector<std::string, std::allocator<std::string> >&, std::vector<long, std::allocator<long> >&, std::vector<long, std::allocator<long> >&, std::string&) [141]
                0.00    0.00       1/3           __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::__normal_iterator() [102]
                0.00    0.00       1/1           map_offsets(std::string, long, float*&, foffset*&, long*, int) [137]
                0.00    0.00       1/1           write_info_pointing(int, std::string, std::string, int, double*, double*) [140]
                0.00    0.00       1/18          std::vector<long, std::allocator<long> >::size() const [41]
                0.00    0.00       1/2           void std::fill<long*, int>(long*, long*, int const&) [131]
                0.00    0.00       1/1           compute_indpix(long*&, int, int, long, long*) [139]
                0.00    0.00       1/1           write_indpix(long, int, long*, std::string, std::string, int) [138]
-----------------------------------------------
                0.00    0.00       1/749         main [1]
                1.56    0.91     374/749         find_coordinates_in_map(long, std::vector<std::string, std::allocator<std::string> >, std::string, std::string, std::string, foffset*, float*, long, long, long*, long*, std::string, std::string, std::string, std::string, std::string, std::string, int, double, int*&, int*&, int, double*&, double*, double*, bool, double, double*, double*, char, double*&, double*&, double*&, double*&, unsigned char*&, double&, double&, double&, double&) [4]
                1.56    0.91     374/749         compute_seen_pixels_coordinates(int, long, std::string, std::vector<std::string, std::allocator<std::string> >, std::string, std::string, std::string, std::string, foffset*, float*, long, long, long*, long*, std::string, std::string, std::string, std::string, std::string, std::string, int, double, int*&, int*&, unsigned char*&, int&, double*&, double*, double*, bool, double, double*, double*, char, double*&, double*&, double*&, double*&, unsigned char*&, int, double&, double&, double&, double&, unsigned char*&, long, double, bool, bool, int, long, unsigned char*&, long*&, long*&, int, long*, long, int&) [3]
